Date,Close
3/3/2015 16:00:00,46.82
3/4/2015 16:00:00,46.38
3/5/2015 16:00:00,46.81
3/6/2015 16:00:00,46.51
3/9/2015 16:00:00,46.65
3/10/2015 16:00:00,46.19
3/11/2015 16:00:00,46.36
3/12/2015 16:00:00,46.76
3/13/2015 16:00:00,46.78
3/16/2015 16:00:00,47.36
3/17/2015 16:00:00,47.2
3/18/2015 16:00:00,46.98
3/19/2015 16:00:00,47.4
3/20/2015 16:00:00,47.26
3/23/2015 16:00:00,46.63
3/24/2015 16:00:00,46.33
3/25/2015 16:00:00,45.73
3/26/2015 16:00:00,45.42
3/27/2015 16:00:00,46.04
3/30/2015 16:00:00,46.92
3/31/2015 16:00:00,46.45
4/1/2015 16:00:00,46.04
4/2/2015 16:00:00,46.12
4/6/2015 16:00:00,46.03
4/7/2015 16:00:00,46.05
4/8/2015 16:00:00,46.3
4/9/2015 16:00:00,46.69
4/10/2015 16:00:00,46.9
4/13/2015 16:00:00,46.76
4/14/2015 16:00:00,46.46
4/15/2015 16:00:00,45.95
4/16/2015 16:00:00,45.5
4/17/2015 16:00:00,45.12
4/20/2015 16:00:00,45.55
4/21/2015 16:00:00,45.69
4/22/2015 16:00:00,45.7
4/23/2015 16:00:00,45.55
4/24/2015 16:00:00,45.73
4/27/2015 16:00:00,45.27
4/28/2015 16:00:00,45.11
4/29/2015 16:00:00,44.93
4/30/2015 16:00:00,44.64
5/1/2015 16:00:00,45.48
5/4/2015 16:00:00,45.39
5/5/2015 16:00:00,44.76
5/6/2015 16:00:00,44.38
5/7/2015 16:00:00,44.94
5/8/2015 16:00:00,45.43
5/11/2015 16:00:00,45.27
5/12/2015 16:00:00,44.8
5/13/2015 16:00:00,44.62
5/14/2015 16:00:00,45.21
5/15/2015 16:00:00,45.34
5/19/2015 16:00:00,46.23
5/20/2015 16:00:00,46.12
5/21/2015 16:00:00,46.25
5/22/2015 16:00:00,46.5
5/25/2015 16:00:00,46.69
5/26/2015 16:00:00,46.49
5/27/2015 16:00:00,47.08
5/28/2015 16:00:00,46.92
5/29/2015 16:00:00,46.65
6/1/2015 16:00:00,47.07
6/2/2015 16:00:00,46.55
6/3/2015 16:00:00,46.85
6/4/2015 16:00:00,46.63
6/5/2015 16:00:00,46.33
6/8/2015 16:00:00,45.88
6/9/2015 16:00:00,45.7
6/10/2015 16:00:00,45.97
6/11/2015 16:00:00,46.08
6/12/2015 16:00:00,45.92
6/15/2015 16:00:00,45.71
6/16/2015 16:00:00,45.94
6/17/2015 16:00:00,45.78
6/18/2015 16:00:00,46.17
6/19/2015 16:00:00,46.13
6/23/2015 16:00:00,46.44
6/24/2015 16:00:00,46.36
6/25/2015 16:00:00,45.93
6/26/2015 16:00:00,45.88
6/29/2015 16:00:00,45.21
6/30/2015 16:00:00,45.74
7/2/2015 16:00:00,46.24
7/3/2015 16:00:00,46.43
7/6/2015 16:00:00,46.42
7/7/2015 16:00:00,46.93
7/8/2015 16:00:00,46.26
7/9/2015 16:00:00,46.26
7/10/2015 16:00:00,46.75
7/13/2015 16:00:00,47.48
7/14/2015 16:00:00,47.7
7/15/2015 16:00:00,48.33
7/16/2015 16:00:00,48.88
7/17/2015 16:00:00,49.01
7/20/2015 16:00:00,49.1
7/21/2015 16:00:00,48.71
7/22/2015 16:00:00,48.91
7/23/2015 16:00:00,48.66
7/24/2015 16:00:00,48.2
7/27/2015 16:00:00,47.87
7/28/2015 16:00:00,48.05
7/29/2015 16:00:00,48.47
7/30/2015 16:00:00,48.72
7/31/2015 16:00:00,48.82
8/4/2015 16:00:00,48.97
8/5/2015 16:00:00,49.19
8/6/2015 16:00:00,48.54
8/7/2015 16:00:00,48.46
8/10/2015 16:00:00,48.59
8/11/2015 16:00:00,48.57
8/12/2015 16:00:00,48.09
8/13/2015 16:00:00,48.42
8/14/2015 16:00:00,48.68
8/17/2015 16:00:00,48.92
8/18/2015 16:00:00,48.69
8/19/2015 16:00:00,48.61
8/20/2015 16:00:00,47.37
8/21/2015 16:00:00,46.2
8/24/2015 16:00:00,44.65
8/25/2015 16:00:00,44.38
8/26/2015 16:00:00,45.96
8/27/2015 16:00:00,46.74
8/28/2015 16:00:00,46.68
8/31/2015 16:00:00,46.19
