Date,Close
3/3/2015 16:00:00,109.72
3/4/2015 16:00:00,109.28
3/5/2015 16:00:00,109.42
3/6/2015 16:00:00,107.94
3/9/2015 16:00:00,108.29
3/10/2015 16:00:00,106.6
3/11/2015 16:00:00,106.2
3/12/2015 16:00:00,107.63
3/13/2015 16:00:00,106.93
3/16/2015 16:00:00,108.4
3/17/2015 16:00:00,108.35
3/18/2015 16:00:00,109.58
3/19/2015 16:00:00,109.5
3/20/2015 16:00:00,110.43
3/23/2015 16:00:00,110.01
3/24/2015 16:00:00,109.52
3/25/2015 16:00:00,107.18
3/26/2015 16:00:00,107.03
3/27/2015 16:00:00,107.28
3/30/2015 16:00:00,108.54
3/31/2015 16:00:00,104.61
4/1/2015 16:00:00,107.15
4/2/2015 16:00:00,107.59
4/6/2015 16:00:00,108.25
4/7/2015 16:00:00,107.99
4/8/2015 16:00:00,108.62
4/9/2015 16:00:00,109.02
4/10/2015 16:00:00,109.39
4/13/2015 16:00:00,108.9
4/14/2015 16:00:00,108.87
4/15/2015 16:00:00,109.31
4/16/2015 16:00:00,109.35
4/17/2015 16:00:00,107.92
4/20/2015 16:00:00,109
4/21/2015 16:00:00,109.22
4/22/2015 16:00:00,109.78
4/23/2015 16:00:00,110.04
4/24/2015 16:00:00,110.21
4/27/2015 16:00:00,109.72
4/28/2015 16:00:00,109.43
4/29/2015 16:00:00,108.87
4/30/2015 16:00:00,107.55
5/1/2015 16:00:00,108.86
5/4/2015 16:00:00,109.02
5/5/2015 16:00:00,107.5
5/6/2015 16:00:00,107.25
5/7/2015 16:00:00,107.84
5/8/2015 16:00:00,109.18
5/11/2015 16:00:00,108.68
5/12/2015 16:00:00,108.39
5/13/2015 16:00:00,108.28
5/14/2015 16:00:00,109.56
5/15/2015 16:00:00,109.76
5/18/2015 16:00:00,110.2
5/19/2015 16:00:00,110.06
5/20/2015 16:00:00,109.95
5/21/2015 16:00:00,110.32
5/22/2015 16:00:00,110.3
5/26/2015 16:00:00,109.12
5/27/2015 16:00:00,110.26
5/28/2015 16:00:00,109.97
5/29/2015 16:00:00,109.14
6/1/2015 16:00:00,109.52
6/2/2015 16:00:00,109.44
6/3/2015 16:00:00,109.83
6/4/2015 16:00:00,108.96
6/5/2015 16:00:00,108.86
6/8/2015 16:00:00,108.01
6/9/2015 16:00:00,107.85
6/10/2015 16:00:00,109.12
6/11/2015 16:00:00,109.36
6/12/2015 16:00:00,108.67
6/15/2015 16:00:00,108.16
6/16/2015 16:00:00,108.74
6/17/2015 16:00:00,109.01
6/18/2015 16:00:00,110.17
6/19/2015 16:00:00,109.61
6/22/2015 16:00:00,110.1
6/23/2015 16:00:00,110.21
6/24/2015 16:00:00,109.44
6/25/2015 16:00:00,109.14
6/26/2015 16:00:00,108.98
6/29/2015 16:00:00,106.54
6/30/2015 16:00:00,107.05
7/1/2015 16:00:00,107.84
7/2/2015 16:00:00,107.81
7/6/2015 16:00:00,107.55
7/7/2015 16:00:00,108.12
7/8/2015 16:00:00,106.23
7/9/2015 16:00:00,106.36
7/10/2015 16:00:00,107.88
7/13/2015 16:00:00,109.23
7/14/2015 16:00:00,109.84
7/15/2015 16:00:00,109.7
7/16/2015 16:00:00,110.68
7/17/2015 16:00:00,111.31
7/20/2015 16:00:00,111.64
7/21/2015 16:00:00,111.33
7/22/2015 16:00:00,110.88
7/23/2015 16:00:00,110.24
7/24/2015 16:00:00,109.21
7/27/2015 16:00:00,108.51
7/28/2015 16:00:00,109.93
7/29/2015 16:00:00,110.52
7/30/2015 16:00:00,110.62
7/31/2015 16:00:00,110.55
8/3/2015 16:00:00,110.17
8/4/2015 16:00:00,109.97
8/5/2015 16:00:00,110.34
8/6/2015 16:00:00,109.01
8/7/2015 16:00:00,108.88
8/10/2015 16:00:00,110.1
8/11/2015 16:00:00,109.14
8/12/2015 16:00:00,109.25
8/13/2015 16:00:00,109.19
8/14/2015 16:00:00,109.57
8/17/2015 16:00:00,110.4
8/18/2015 16:00:00,110.08
8/19/2015 16:00:00,109.37
8/20/2015 16:00:00,106.68
8/21/2015 16:00:00,103.11
8/24/2015 16:00:00,99.02
8/25/2015 16:00:00,98.26
8/26/2015 16:00:00,102.2
8/27/2015 16:00:00,104.62
8/28/2015 16:00:00,104.72
8/31/2015 16:00:00,103.59
9/1/2015 16:00:00,100.66
9/2/2015 16:00:00,102.75
9/3/2015 16:00:00,102.61
9/4/2015 16:00:00,101.32
9/8/2015 16:00:00,103.82
9/9/2015 16:00:00,102.44
9/10/2015 16:00:00,103.12
9/11/2015 16:00:00,103.73
9/14/2015 16:00:00,103.38
9/15/2015 16:00:00,104.56
9/16/2015 16:00:00,105.38
9/17/2015 16:00:00,105.36
9/18/2015 16:00:00,103.93
9/21/2015 16:00:00,103.9
9/22/2015 16:00:00,102.49
9/23/2015 16:00:00,102.34
9/24/2015 16:00:00,101.92
9/25/2015 16:00:00,101.47
9/28/2015 16:00:00,98.4
9/29/2015 16:00:00,98.14
9/30/2015 16:00:00,100.29
10/1/2015 16:00:00,100.71
10/2/2015 16:00:00,102.29
10/5/2015 16:00:00,103.85
10/6/2015 16:00:00,103.17
10/7/2015 16:00:00,103.95
10/8/2015 16:00:00,104.8
10/9/2015 16:00:00,105.16
10/12/2015 16:00:00,105.38
10/13/2015 16:00:00,104.55
10/14/2015 16:00:00,104.12
10/15/2015 16:00:00,105.77
10/16/2015 16:00:00,106.14
10/19/2015 16:00:00,106.45
10/20/2015 16:00:00,106.17
10/21/2015 16:00:00,105.43
10/22/2015 16:00:00,107.07
10/23/2015 16:00:00,108.32
10/26/2015 16:00:00,108.3
10/27/2015 16:00:00,108.13
10/28/2015 16:00:00,109.26
10/29/2015 16:00:00,109.61
10/30/2015 16:00:00,109.29
11/2/2015 16:00:00,110.59
11/3/2015 16:00:00,110.81
11/4/2015 16:00:00,110.65
11/5/2015 16:00:00,110.4
11/6/2015 16:00:00,110.29
11/9/2015 16:00:00,109.24
11/10/2015 16:00:00,109.31
11/11/2015 16:00:00,108.91
11/12/2015 16:00:00,107.55
11/13/2015 16:00:00,105.96
11/16/2015 16:00:00,107.39
11/17/2015 16:00:00,107.47
11/18/2015 16:00:00,109.3
11/19/2015 16:00:00,109.23
11/20/2015 16:00:00,110.01
11/23/2015 16:00:00,109.89
11/24/2015 16:00:00,109.95
11/25/2015 16:00:00,110.16
11/27/2015 16:00:00,110.21
11/30/2015 16:00:00,109.45
12/1/2015 16:00:00,110.48
12/2/2015 16:00:00,109.46
12/3/2015 16:00:00,107.72
12/4/2015 16:00:00,109.81
12/7/2015 16:00:00,109.09
12/8/2015 16:00:00,108.87
12/9/2015 16:00:00,107.59
12/10/2015 16:00:00,107.89
